Food Establishment Name,Food Establishment Street Address,Food Establishment City,Food Establishment Zip Code,Inspection Date,Inspection Type,Violation 1,Violation 1 Description,Violation 2,Violation 2 Description,Violation 3,Violation 3 Description,Violation 4,Violation 4 Description,Violation 5,Violation 5 Description,Violation 6,Violation 6 Description,Violation 7,Violation 7 Description,Violation 8,Violation 8 Description,Violation 9,Violation 9 Description,Violation 10,Violation 10 Description,Violation 11,Violation 11 Description,Violation 12,Violation 12 Desription,Violation 13,Violation 13 Description,Geocoded Location
PIZZA HUT,820 NORMAN ESKRIDGE HWY,SEAFORD,19973,09/08/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"820 NORMAN ESKRIDGE HWY
SEAFORD, DE 19973
(38.649935, -75.602839)"
HARVEST DINER,20893 DUPONT BLVD,GEORGETOWN,19947,07/05/2016,Routine,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"20893 DUPONT BLVD
GEORGETOWN, DE 19947
(38.690642, -75.398306)"
FINS FISH HOUSE & RAW BAR,243 REHOBOTH AVE,REHOBOTH BEACH,19971,08/19/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"243 REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.715841, -75.084692)"
GENERAL STORE,8 PEDDLERS VILLAGE,LEWES,19958,07/12/2016,Routine,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"8 PEDDLERS VILLAGE
LEWES, DE 19958
(38.776285, -75.144359)"
ARENA'S CAFÉ,4113 HWY ONE,REHOBOTH BEACH,19971,08/09/2016,Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,"4113 HWY ONE
REHOBOTH BEACH, DE 19971
(38.699356, -75.078271)"
Truck It Food Truck,22328 Blue Bayou Way,Georgetown,19947,07/05/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"22328 Blue Bayou Way
Georgetown, DE 19947
(38.675345, -75.38973)"
SUBWAY,30182 SUSSEX HWY,LAUREL,19956,08/02/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"30182 SUSSEX HWY
LAUREL, DE 19956
(38.579075, -75.568259)"
ARENA'S DELI & BAR,149 REHOBOTH AVE,REHOBOTH BEACH,19971,09/21/2016,Routine,4-703_11 Methods-Hot Water and Chemical P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"149 REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.716306, -75.080796)"
BETHANY BLUES MOB,18385 COASTAL HWY,LEWES,19958,09/07/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"18385 COASTAL HWY
LEWES, DE 19958
(38.740367, -75.146578)"
OFF THE HOOK,769 GARFIELD PKY,BETHANY BEACH,19930,09/26/2016,Routine,8-201_11 When Plans Are Required Pf,Violation - Corrected on Site,"3-304.15 Gloves, Use Limitation P",Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"769 GARFIELD PKY
BETHANY BEACH, DE 19930
(38.540486, -75.071562)"
BAYSIDE SEAFOOD & PRODUCE,28537 SUSSEX HWY,LAUREL,19956,08/04/2016,Routine,3-501_19 Time as a Public Health Control P Pf,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"28537 SUSSEX HWY
LAUREL, DE 19956
(38.591267, -75.575501)"
TWISTED FRUIT,14411 VFW RD,ELLENDALE,19941,08/25/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"14411 VFW RD
ELLENDALE, DE 19941
(38.788083, -75.443682)"
THE BRICK RESTAURANT & TAVERN,18 THE CIRCLE,GEORGETOWN,19947,08/03/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"18 THE CIRCLE
GEORGETOWN, DE 19947
(38.689757, -75.386111)"
GW CARVER EDUCATIONAL CTR,30207 Frankford School Rd.,FRANKFORD,19945,09/27/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"30207 Frankford School Rd.
FRANKFORD, DE 19945
(38.519459, -75.22336)"
WENDY'S,22932 SUSSEX HWY,SEAFORD,19973,09/30/2016,Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,"22932 SUSSEX HWY
SEAFORD, DE 19973
(38.659061, -75.594287)"
ONE COASTAL,101-6 N COASTAL HWY,FENWICK,19944,07/07/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"101-6 N COASTAL HWY
FENWICK, DE 19944
(38.453361, -75.052126)"
ROYAL FARM STORE #44,802 OCEAN DRIVE,FENWICK ISLAND,19944,09/22/2016,Routine,5-304_11 Flushing and Disinfecting System P,Violation,2-201_11 Responsibility of Person in Charge P,Violation,,,,,,,,,,,,,,,,,,,,,,,"802 OCEAN DRIVE
FENWICK ISLAND, DE 19944
(38.458219, -75.052138)"
Hazzards Savannahs Deli & Grille,1141 Savannah Rd,Lewes,19958,08/09/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1141 Savannah Rd
Lewes, DE 19958
(38.765022, -75.148995)"
Just Pizza Bethany,33000 Coastal Hwy #1,Bethany Beach,19930,07/27/2016,Pre-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,"33000 Coastal Hwy #1
Bethany Beach, DE 19930
(38.529003, -75.058574)"
DAIRY QUEEN,1055 COASTAL HWY & ESSEX ST,FENWICK ISLAND,19944,08/05/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1055 COASTAL HWY &amp; ESSEX ST
FENWICK ISLAND, DE 19944
(38.460038, -75.051937)"
BEACHES SEAFOOD MKT,18226 COASTAL HWY,LEWES,19958,09/27/2016,Pre-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,"18226 COASTAL HWY
LEWES, DE 19958
(38.743047, -75.150974)"
IGUANA GRILL,52 BALTIMORE AVENUE,REHOBOTH BEACH,19971,08/01/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"52 BALTIMORE AVENUE
REHOBOTH BEACH, DE 19971
(38.71699, -75.081205)"
2nd to None,18066 Deer Forest Rd,Georgetown,19947,09/22/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"18066 Deer Forest Rd
Georgetown, DE 19947
(38.736179, -75.435918)"
DELMAR JR-SR HI CAFETERIA,200 N EIGHTH ST,DELMAR,19940,09/29/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"200 N EIGHTH ST
DELMAR, DE 19940
(38.45782, -75.568311)"
SEA SIDE PREP AREA,6 DELAEARE AVE,REHOBOTH BEACH,19971,07/20/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"6 DELAEARE AVE
REHOBOTH BEACH, DE 19971
(38.714864, -75.076361)"
JUST IN THYME RESTAURANT,31 ROBINSON DR,REHOBOTH BEACH,19971,09/16/2016,Routine,4-502_11 Good Repair and Calibration Pf (b),Violation,"4-501_114 Chem_San_, Temp_/pH/Concentr_/Hard P",Violation,,,,,,,,,,,,,,,,,,,,,,,"31 ROBINSON DR
REHOBOTH BEACH, DE 19971
(38.735362, -75.085293)"
PIZZA VILLA,18585 Coastal Hwy Unit 8,REHOBOTH BEACH,19971,07/19/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"18585 Coastal Hwy Unit 8
REHOBOTH BEACH, DE 19971
(38.737478, -75.142197)"
Gus & Gus,15 S. Boardwalk,REHOBOTH BEACH,19971,09/15/2016,Routine,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"15 S. Boardwalk
REHOBOTH BEACH, DE 19971
(38.716304, -75.076034)"
Shore Stop #270,25776 Deep Branch Rd.,MILTON,19968,09/15/2016,Routine,5-205_15 System Maintained/Repair P (a),Violation - Corrected on Site,4-703_11 Methods-Hot Water and Chemical P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"25776 Deep Branch Rd.
MILTON, DE 19968
(38.817148, -75.299557)"
Georgetown Family Restaurant,115 East Market Street,GEORGETOWN,19947,07/07/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"115 East Market Street
GEORGETOWN, DE 19947
(38.691258, -75.384373)"
KINGS CREEK POOL SNACK BAR,1 KINGS CREEK CIRCLE  BOX J,REHOBOTH BEACH,19971,08/05/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 KINGS CREEK CIRCLE BOX J
REHOBOTH BEACH, DE 19971
(38.710242, -75.117314)"
MODERN MIXTURE,62A REHOBOTH AVE,REHOBOTH BEACH,19971,07/26/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"62A REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.716437, -75.077089)"
NORTHBEACH RESTAURANT,125 MCKINLEY STREET,DEWEY BEACH,19971,07/29/2016,Routine,4-502_11 Good Repair and Calibration Pf (b),Violation - Corrected on Site,7-204_12 Washing Fruits and Vegetables P (a),Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"125 MCKINLEY STREET
DEWEY BEACH, DE 19971
(38.692603, -75.077045)"
SWEET CHARLIES,70 REHOBOTH AVE,REHOBOTH BEACH,19971,07/01/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"70 REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.716284, -75.078493)"
LONG NECK DINER,25935 PLAZA DR  UNIT 5,MILLSBORO,19966,07/11/2016,Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,"25935 PLAZA DR UNIT 5
MILLSBORO, DE 19966
(38.631676, -75.193873)"
KASIEY'S DELIGHTS,70 B REHOBOTH AVE,REHOBOTH BEACH,19971,07/29/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"70 B REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.716284, -75.078493)"
THE FROZEN FARMER,9843 SEASHORE HWY,BRIDGEVILLE,19933,08/10/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"9843 SEASHORE HWY
BRIDGEVILLE, DE 19933
(38.715649, -75.57587)"
T.G.I. FRIDAY'S @ REHOBOTH,"19266 COASTAL HWY, UNIT #1",REHOBOTH BEACH,19971,09/29/2016,Routine,3-301_12 Contamination When Tasting P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"19266 COASTAL HWY, UNIT #1
REHOBOTH BEACH, DE 19971
(38.724536, -75.124818)"
DiFEBO'S RESTAURANT & DELI,789 GARFIELD PKWY,BETHANY BEACH,19930,08/09/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"789 GARFIELD PKWY
BETHANY BEACH, DE 19930
(38.540475, -75.071517)"
SOUTH FORK DELI,32890 HORSEY CHURCH RD,LAUREL,19956,09/08/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"32890 HORSEY CHURCH RD
LAUREL, DE 19956
(38.536851, -75.594079)"
TOUT DE SUITE PATISSERIE,30482 HALF SHELL RD,MILTON,19968,09/15/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"30482 HALF SHELL RD
MILTON, DE 19968
(38.781248, -75.225418)"
OAK ORHCARD DINER,2 TRADING POST PLAZA,MILLSBORO,19966,08/12/2016,Routine,3-501_19 Time as a Public Health Control P Pf,Violation,,,,,,,,,,,,,,,,,,,,,,,,,"2 TRADING POST PLAZA
MILLSBORO, DE 19966
(38.607731, -75.214839)"
THE GREEN TURTLE,101 S BOARDWALK,REHOBOTH BEACH,19971,08/03/2016,Routine,3-501_19 Time as a Public Health Control P Pf,Violation,4-703_11 Methods-Hot Water and Chemical P,Violation,6-501_111 Controlling Pests Pf ( C),Violation,,,,,,,,,,,,,,,,,,,,,"101 S BOARDWALK
REHOBOTH BEACH, DE 19971
(38.715719, -75.075955)"
Plaza Tapatia,22928 Sussex Highway,Seaford,19973,09/28/2016,Pre-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,"22928 Sussex Highway
Seaford, DE 19973
(38.659512, -75.594233)"
FIVE POINTS DELI,511 NORTH CENTRAL AVE,LAUREL,19956,08/08/2016,Routine,6-501_111 Controlling Pests Pf ( C),Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"511 NORTH CENTRAL AVE
LAUREL, DE 19956
(38.565764, -75.571803)"
BELLA CAPRI RESTAURANT,"6 COLLEGE PARK LANE, SUITE 7",GEORGETOWN,19947,07/07/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"6 COLLEGE PARK LANE, SUITE 7
GEORGETOWN, DE 19947
(38.701727, -75.402847)"
RIPPON'S SEAFOOD WEST FENWICK,36644 LIGHTHOUSE RD,SELBYVILLE,19975,08/05/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"36644 LIGHTHOUSE RD
SELBYVILLE, DE 19975
(38.472999, -75.104801)"
DREAMER COFFEE & JUICE BAR,32 REHOBOTH AVE,REHOBOTH BEACH,19971,08/09/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"32 REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.716424, -75.077205)"
SEDONA'S,26-A PENNSYLVANIA & CENTRAL,BETHANY BEACH,19930,08/03/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"26-A PENNSYLVANIA &amp; CENTRAL
BETHANY BEACH, DE 19930
(38.540406, -75.057418)"
MARINER MIDDLE SCHOOL,16391 HARBESON ROAD,MILTON,19968,09/19/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"16391 HARBESON ROAD
MILTON, DE 19968
(38.762472, -75.313056)"
GOODFELLAS,122 MUBERRY ST,MILTON,19968,08/09/2016,Complaint,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation,5-205_15 System Maintained/Repair P (a),Violation,4-703_11 Methods-Hot Water and Chemical P,Violation,"6-501_15 Clean Maint Tools, Prev Contam Pf",Violation,6-501_111 Controlling Pests Pf ( C),Violation,,,,,,,,,,,,,,,,,"122 MUBERRY ST
MILTON, DE 19968
(38.775475, -75.31209)"
TAQUERIA EL SAZON GUATEMALTECO,22277 LEWES GEORGETOWN HWY,GEORGETOWN,19947,07/07/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"22277 LEWES GEORGETOWN HWY
GEORGETOWN, DE 19947
(38.702155, -75.35969)"
Lemon Tree,416 E Savannah Rd.,LEWES,19958,08/31/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"416 E Savannah Rd.
LEWES, DE 19958
(38.778323, -75.134897)"
Grandpa Mac,18756 Coastal Hwy Unit 6,Rehoboth Beach,19971,09/13/2016,Pre-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,"18756 Coastal Hwy Unit 6
Rehoboth Beach, DE 19971
(38.733932, -75.137231)"
MATTS FISH CAMP LEWES,34401 TENLEY CT COASTAL HWY,LEWES,19958,09/23/2016,Routine,3-501_19 Time as a Public Health Control P Pf,Violation - Corrected on Site,3-501_14 Cooling P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"34401 TENLEY CT COASTAL HWY
LEWES, DE 19958
(38.742332, -75.150313)"
CANTINA ULTIMA,102 FEDERAL ST,MILTON,19968,09/09/2016,Routine,3-502_11 Variance Requirement Pf,Violation - Corrected on Site,8-405_11 Timely Correction Pf (a),Violation,,,,,,,,,,,,,,,,,,,,,,,"102 FEDERAL ST
MILTON, DE 19968
(38.777221, -75.310394)"
TELAMON CORP.,26351 PATROITS WAY,GEORGETOWN,19947,09/20/2016,Routine,4-501_17 Warewashing Cleaning Agents Pf,Violation,,,,,,,,,,,,,,,,,,,,,,,,,"26351 PATROITS WAY
GEORGETOWN, DE 19947
(38.622503, -75.320454)"
N GEORGETOWN ELEM SCHOOL,664 N BEDFORD ST,GEORGETOWN,19947,09/15/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"664 N BEDFORD ST
GEORGETOWN, DE 19947
(38.704122, -75.40084)"
PORTO PIZZA & GRILL,33168 MAIN ST,DAGSBORO,19939,08/19/2016,Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,"33168 MAIN ST
DAGSBORO, DE 19939
(38.549635, -75.245882)"
RED SQUARE CAVIAR BAR,162 REHOBOTH AVENUE,REHOBOTH BEACH,19971,09/21/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"162 REHOBOTH AVENUE
REHOBOTH BEACH, DE 19971
(38.716007, -75.081281)"
Beach Stop Hot Dogs,32393 Lewes Georgetown Hwy,Lewes,19958,08/30/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"32393 Lewes Georgetown Hwy
Lewes, DE 19958
(38.745934, -75.180522)"
GREENWOOD MENNONITE SCHOOL,12802 Mennonite School Rd.,GREENWOOD,19950,09/20/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"12802 Mennonite School Rd.
GREENWOOD, DE 19950
(38.811295, -75.563925)"
SUBWAY,26506 VITORIA LANDING RD,MILLSBORO,19966,07/18/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"26506 VITORIA LANDING RD
MILLSBORO, DE 19966
(38.623114, -75.107478)"
IVY,136 DAGSWORTHY STREET,DEWEY BEACH,19971,08/17/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"136 DAGSWORTHY STREET
DEWEY BEACH, DE 19971
(38.69349, -75.077828)"
THE FROZEN FARMER,9843 SEASHORE HWY,BRIDGEVILLE,19933,07/05/2016,Pre-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,"9843 SEASHORE HWY
BRIDGEVILLE, DE 19933
(38.715649, -75.57587)"
TWIST JUICES,70 REHOBOTH AVE,REHOBOTH BEACH,19971,07/19/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"70 REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.716284, -75.078493)"
PHILLIS WHEATLEY ELEMENTARY SCHOOL,48 CHURCH STREET,BRIDGEVILLE,19930,09/16/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"48 CHURCH STREET
BRIDGEVILLE, DE 19930
(38.749989, -75.602763)"
DUNKIN DONUTS,33364 PENNSYLVANIA AVE,BETHANY BEACH,19930,08/01/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"33364 PENNSYLVANIA AVE
BETHANY BEACH, DE 19930
(38.528109, -75.055918)"
JIMMY'S GRILL REHOBOTH,19724 SEA AIR AVE,REHOBOTH BEACH,19971,09/28/2016,Routine,5-205_15 System Maintained/Repair P (a),Violation,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation - Corrected on Site,2-201_11 Responsibility of Person in Charge P,Violation,"3-304.15 Gloves, Use Limitation P",Violation - Corrected on Site,"4-204_117 Warewasher, Sanitizer Indicator Pf",Violation - Corrected on Site,,,,,,,,,,,,,,,,,"19724 SEA AIR AVE
REHOBOTH BEACH, DE 19971
(38.716979, -75.1137)"
MCDONALDS,38667 SUSSEX HWY,DELMAR,19940,08/24/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"38667 SUSSEX HWY
DELMAR, DE 19940
(38.457857, -75.558067)"
HAMMERHEADS,1818 COASTAL HWY,DEWEY BEACH,19971,09/06/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1818 COASTAL HWY
DEWEY BEACH, DE 19971
(38.693946, -75.074886)"
AL CASAPULLA'S ITALIAN DELI,535 ATLANTIC AVE,MILLVILLE,19970,08/09/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"535 ATLANTIC AVE
MILLVILLE, DE 19970
(38.548505, -75.119105)"
HOOKED SEAFOOD & MARTINI BAR,18585 COASTAL HWY STE 23,REHOBOTH,19971,09/01/2016,Routine,4-703_11 Methods-Hot Water and Chemical P,Violation,5-203_11 Handwashing Facilities Pf (a),Violation,,,,,,,,,,,,,,,,,,,,,,,"18585 COASTAL HWY STE 23
REHOBOTH, DE 19971
(38.737478, -75.142197)"
ENNIS SCHOOL CAFETERIA,20346 Ennis Rd.,GEORGETOWN,19947,09/16/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"20346 Ennis Rd.
GEORGETOWN, DE 19947
(38.693036, -75.409402)"
El Azteca Rehoboth,20672 Route 1,Rehoboth Beach,19971,09/07/2016,Routine,5-203_11 Handwashing Facilities Pf (a),Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"20672 Route 1
Rehoboth Beach, DE 19971
(38.705974, -75.087836)"
BETHANY BOAT HOUSE,39817 HICKMAN RD,BEATHANY BEACH,19930,07/15/2016,Routine,5-304_11 Flushing and Disinfecting System P,Violation - Corrected on Site,6-501_111 Controlling Pests Pf ( C),Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"39817 HICKMAN RD
BEATHANY BEACH, DE 19930
(38.528851, -75.056771)"
DAWN PATROL,1700 COASTAL HWY,DEWEY BEACH,19971,09/29/2016,Pre-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,"1700 COASTAL HWY
DEWEY BEACH, DE 19971
(38.693132, -75.074784)"
RUSTIC FARM ACRES MARKET,37217 RUSTIC ACRES LN,REHOBOTH BEACH,19971,08/29/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"37217 RUSTIC ACRES LN
REHOBOTH BEACH, DE 19971
(38.726796, -75.101859)"
Pamela's Coffee House & Café,"32783 Long Neck Rd, Unit #3",Millsboro,19956,08/23/2016,Pre-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,"32783 Long Neck Rd, Unit #3
Millsboro, DE 19956
(38.628692, -75.167909)"
THE DEN,7 CLUBHOUSE DRIVE,OCEAN VIEW,19970,07/08/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"7 CLUBHOUSE DRIVE
OCEAN VIEW, DE 19970
(38.536544, -75.107555)"
THE CAFÉ ON 26,84 ATLANTIC AVE,OCEAN VIEW,19970,08/31/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"84 ATLANTIC AVE
OCEAN VIEW, DE 19970
(38.544852, -75.094463)"
JAVA JUKEBOX,37169 REHOBOTH AVE EXT,REHOBOTH BEACH,19971,07/05/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"37169 REHOBOTH AVE EXT
REHOBOTH BEACH, DE 19971
(38.712783, -75.099715)"
Royal Farms 123,26672 John J Williams Hwy,MILLSBORO,19966,07/18/2016,Followup,5-203_11 Handwashing Facilities Pf (a),Violation,,,,,,,,,,,,,,,,,,,,,,,,,"26672 John J Williams Hwy
MILLSBORO, DE 19966
(38.614254, -75.202615)"
SUBWAY,6 SEASIDE VILLAGE,BETHANY BEACH,19930,08/22/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"6 SEASIDE VILLAGE
BETHANY BEACH, DE 19930
(38.519375, -75.053931)"
Baywood Green Snack bar,32267 Club House Way,MILLSBORO,19966,08/16/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"32267 Club House Way
MILLSBORO, DE 19966
(38.64385, -75.18785)"
OAK ORHCARD DINER,2 TRADING POST PLAZA,MILLSBORO,19966,08/23/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 TRADING POST PLAZA
MILLSBORO, DE 19966
(38.607731, -75.214839)"
ALL AMERICAN TUBE STEAK,21383 CAMP ARROWHEAD RD,LEWES,19958,09/14/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"21383 CAMP ARROWHEAD RD
LEWES, DE 19958
(38.690302, -75.16554)"
BROWSEABOUT BOOKS CAFE,133 REHOBOTH AVE    POB 626,REHOBOTH BEACH,19971,08/11/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"133 REHOBOTH AVE POB 626
REHOBOTH BEACH, DE 19971
(38.716365, -75.080183)"
COCO MANGO GRILLE,20834 BOAT HOLE BLVD,LEWES,19958,08/15/2016,Followup,3-501_19 Time as a Public Health Control P Pf,Violation,4-502_11 Good Repair and Calibration Pf (b),Violation,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation,"4-501_111 Warewashing, San_ Water Temp P",Violation,"4-501_114 Chem_San_, Temp_/pH/Concentr_/Hard P",Violation,,,,,,,,,,,,,,,,,"20834 BOAT HOLE BLVD
LEWES, DE 19958
(38.702033, -75.162936)"
LAUREL AUCTION BLOCK,10667 GEORGETOWN RD,LAUREL,19956,07/27/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"10667 GEORGETOWN RD
LAUREL, DE 19956
(38.568595, -75.564391)"
LEWES DINER,1201 SAVANNAH RD,LEWES,19958,07/28/2016,Routine,3-501_19 Time as a Public Health Control P Pf,Violation - Corrected on Site,4-703_11 Methods-Hot Water and Chemical P,Violation,3-502_11 Variance Requirement Pf,Violation,2-201_11 Responsibility of Person in Charge P,Violation,4-501_17 Warewashing Cleaning Agents Pf,Violation,,,,,,,,,,,,,,,,,"1201 SAVANNAH RD
LEWES, DE 19958
(38.762156, -75.152026)"
LAVENDER FIELDS & WARRINGTON MANOR,18864 COOL SPRING RD,MILTON,19968,07/07/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"18864 COOL SPRING RD
MILTON, DE 19968
(38.720374, -75.247976)"
COTTAGE CAFE,33034 COASTAL HWY,BETHANY BEACH,19930,09/19/2016,Routine,3-501_19 Time as a Public Health Control P Pf,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"33034 COASTAL HWY
BETHANY BEACH, DE 19930
(38.528244, -75.057786)"
COCO MANGO GRILLE,20834 BOAT HOLE BLVD,LEWES,19958,08/26/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"20834 BOAT HOLE BLVD
LEWES, DE 19958
(38.702033, -75.162936)"
GEORGIA HOUSE RESTAURANT,"119 MAIN ST, POB 1634",MILLSBORO,19966,07/29/2016,Routine,3-501_19 Time as a Public Health Control P Pf,Violation,6-501_111 Controlling Pests Pf ( C),Violation,,,,,,,,,,,,,,,,,,,,,,,"119 MAIN ST, POB 1634
MILLSBORO, DE 19966
(38.589947, -75.292183)"
THE HAPPY COW,113 UNION ST UT D,MILOTN,19968,09/09/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"113 UNION ST UT D
MILOTN, DE 19968
(38.778365, -75.310851)"
FENWICK ISLAND GOOSE CREEK,36656 LIGHTHOUSE RD,SELBYVILLE,19975,09/13/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"36656 LIGHTHOUSE RD
SELBYVILLE, DE 19975
(38.473037, -75.104394)"
UNCLE WILLIES # 12,28194  DUPONT HWY,MILLSBORO,19966,09/22/2016,Routine,3-501_19 Time as a Public Health Control P Pf,Violation,"7-201_11 Storage, Separation P",Violation,,,,,,,,,,,,,,,,,,,,,,,"28194 DUPONT HWY
MILLSBORO, DE 19966
(38.599912, -75.318215)"
KWIK CHEF,30234 CEDER NECK RD,OCEAN VIEW,19970,07/14/2016,Routine,5-205_15 System Maintained/Repair P (a),Violation,6-501_111 Controlling Pests Pf ( C),Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"30234 CEDER NECK RD
OCEAN VIEW, DE 19970
(38.569966, -75.080868)"
CRUST BAKE AND PIZZA CO,212 MAIN ST,MILLSBORO,19966,08/15/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"212 MAIN ST
MILLSBORO, DE 19966
(38.59102, -75.291609)"
DUNKIN DONUTS,28523 DUPONT HWY,MILLSBORO,19966,09/23/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"28523 DUPONT HWY
MILLSBORO, DE 19966
(38.583857, -75.29345)"
